"{Aegialitis rotundifolia,Kandelia candel} => {Heritiera fomes}"
"{Aegialitis rotundifolia,Ceriops decandra} => {Heritiera fomes}"
"{Aegialitis rotundifolia,Bruguiera gymnorrhiza} => {Heritiera fomes}"
"{Aegialitis rotundifolia,Lumnitzera racemosa} => {Heritiera fomes}"
"{Aegialitis rotundifolia,Rhizophorata mucronata} => {Heritiera fomes}"
"{Kandelia candel,sonneratia apetala} => {Heritiera fomes}"
"{Ceriops decandra,Kandelia candel} => {Heritiera fomes}"
